District,Fe,Zn,VitA,Stunting,Province,Population
Nyarugenge,55.0,65.0,55.0,27.9,City of Kigali,374319
Gasabo,55.0,65.0,65.0,23.2,City of Kigali,879505
Kicukiro,55.0,65.0,65.0,10.7,City of Kigali,491731
Nyanza,45.0,55.0,55.0,32.4,South,365718
Gisagara,55.0,55.0,55.0,31.6,South,397051
Nyaruguru,55.0,55.0,75.0,39.1,South,318126
Huye,55.0,65.0,65.0,29.2,South,381900
Nyamagabe,55.0,55.0,75.0,33.6,South,371501
Ruhango,45.0,55.0,55.0,38.5,South,359121
Muhanga,45.0,45.0,65.0,35.8,South,358433
Kamonyi,45.0,45.0,55.0,22.5,South,450849
Karongi,45.0,45.0,65.0,32.4,West,373869
Rutsiro,45.0,45.0,55.0,44.4,West,369180
Rubavu,45.0,45.0,35.0,40.2,West,546683
Nyabihu,45.0,45.0,45.0,46.7,West,319047
Ngororero,45.0,45.0,65.0,50.5,West,367955
Rusizi,35.0,35.0,55.0,30.7,West,485529
Nyamasheke,35.0,35.0,65.0,37.7,West,434221
Rulindo,45.0,45.0,65.0,29.7,North,360144
Gakenke,55.0,55.0,75.0,39.3,North,365292
Musanze,55.0,55.0,45.0,45.4,North,476522
Burera,55.0,55.0,55.0,41.6,North,387729
Gicumbi,45.0,45.0,65.0,42.2,North,448824
Rwamagana,45.0,45.0,55.0,22.3,East,484953
Nyagatare,45.0,55.0,45.0,30.7,East,653861
Gatsibo,45.0,45.0,55.0,27.5,East,551164
Kayonza,45.0,45.0,55.0,28.3,East,457156
Kirehe,45.0,45.0,45.0,31.3,East,460860
Ngoma,45.0,45.0,55.0,37.3,East,404048
Bugesera,35.0,45.0,35.0,26.1,East,551103
