District,Province,Fe+5%,Fe+10%,Zn+5%,Zn+10%,VitA+5%,VitA+10%,All+5%,All+10%
Nyarugenge,City of Kigali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gasabo,City of Kigali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kicukiro,City of Kigali,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyanza,South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gisagara,South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyaruguru,South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huye,South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyamagabe,South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruhango,South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Muhanga,South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamonyi,South,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karongi,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rutsiro,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubavu,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyabihu,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ngororero,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rusizi,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyamasheke,West,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rulindo,North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gakenke,North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Musanze,North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burera,North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gicumbi,North,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rwamagana,East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nyagatare,East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gatsibo,East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayonza,East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kirehe,East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ngoma,East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bugesera,East,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
